gnd,pctile,year,le_raceadj
F,19,2002,82.87
F,19,2003,82.78
F,19,2004,83.52
F,19,2005,84.15
F,19,2006,84.31
F,19,2007,83.57
F,19,2008,83.85
F,19,2009,83.87
F,19,2010,84.21
F,19,2011,84.05
F,19,2012,83.96
F,19,2013,83.86
F,19,2014,85.12
F,20,2001,82.72
F,20,2002,84.13
F,20,2003,82.09
F,20,2004,82.84
F,20,2005,84.16
F,20,2006,83.22
F,20,2007,83.85
F,20,2008,84.67
F,20,2009,82.91
F,20,2010,84.34
F,20,2011,83.94
F,20,2012,83.87
F,20,2013,83.45
F,20,2014,84.22
F,21,2001,82.44
F,21,2002,82.87
F,21,2003,83.46
F,21,2004,83.07
F,21,2005,82.88
F,21,2006,83.60
F,21,2007,84.46
F,21,2008,83.63
F,21,2009,84.12
F,21,2010,84.34
F,21,2011,84.30
F,21,2012,84.18
F,21,2013,84.12
F,21,2014,84.44
F,22,2001,83.02
F,22,2002,83.63
F,22,2003,83.14
F,22,2004,83.50
F,22,2005,82.81
F,22,2006,83.65
F,22,2007,84.52
F,22,2008,83.58
F,22,2009,82.87
F,22,2010,84.78
F,22,2011,84.94
F,22,2012,85.14
F,22,2013,83.49
F,22,2014,85.45
F,23,2001,81.73
F,23,2002,82.42
F,23,2003,84.27
F,23,2004,83.09
F,23,2005,83.99
F,23,2006,83.60
F,23,2007,83.91
F,23,2008,84.47
F,23,2009,84.13
F,23,2010,84.58
F,23,2011,84.51
F,23,2012,83.64
F,23,2013,84.21
F,23,2014,84.84
F,24,2001,82.02
F,24,2002,83.04
F,24,2003,82.48
F,24,2004,83.83
F,24,2005,83.70
F,24,2006,84.21
F,24,2007,84.05
F,24,2008,83.96
F,24,2009,83.82
F,24,2010,84.28
F,24,2011,85.21
F,24,2012,84.62
F,24,2013,85.34
F,24,2014,84.73
F,25,2001,83.30
F,25,2002,83.33
F,25,2003,83.05
F,25,2004,83.71
F,25,2005,83.05
F,25,2006,83.47
F,25,2007,84.48
F,25,2008,84.20
F,25,2009,83.73
F,25,2010,84.10
F,25,2011,84.32
F,25,2012,84.86
F,25,2013,84.92
F,25,2014,85.37
F,26,2001,83.57
F,26,2002,83.65
F,26,2003,83.33
F,26,2004,83.13
F,26,2005,84.33
F,26,2006,84.16
F,26,2007,84.10
F,26,2008,84.05
F,26,2009,83.48
F,26,2010,84.11
F,26,2011,84.82
F,26,2012,84.49
F,26,2013,85.52
F,26,2014,84.27
F,27,2001,83.23
F,27,2002,83.49
F,27,2003,83.51
F,27,2004,83.99
F,27,2005,83.05
F,27,2006,84.38
F,27,2007,85.04
F,27,2008,85.07
F,27,2009,83.97
F,27,2010,85.24
F,27,2011,84.49
F,27,2012,84.82
F,27,2013,84.18
F,27,2014,84.71
F,28,2001,82.31
F,28,2002,83.40
F,28,2003,82.45
F,28,2004,84.42
F,28,2005,84.40
F,28,2006,83.76
F,28,2007,84.34
F,28,2008,84.65
F,28,2009,84.75
F,28,2010,85.21
F,28,2011,84.18
F,28,2012,85.11
F,28,2013,84.77
F,28,2014,84.85
F,29,2001,83.43
F,29,2002,82.62
F,29,2003,83.56
F,29,2004,83.06
F,29,2005,84.54
F,29,2006,83.34
F,29,2007,85.40
F,29,2008,85.66
F,29,2009,84.41
F,29,2010,85.19
F,29,2011,85.07
F,29,2012,84.12
F,29,2013,85.45
F,29,2014,85.18
F,30,2001,83.38
F,30,2002,83.90
F,30,2003,84.15
F,30,2004,84.37
F,30,2005,84.73
F,30,2006,84.40
F,30,2007,84.77
F,30,2008,85.69
F,30,2009,84.03
F,30,2010,85.21
F,30,2011,85.77
F,30,2012,85.37
F,30,2013,84.64
F,30,2014,84.89
F,31,2001,83.68
F,31,2002,83.97
F,31,2003,84.71
F,31,2004,85.09
F,31,2005,84.38
F,31,2006,85.15
F,31,2007,85.76
F,31,2008,84.82
F,31,2009,85.24
F,31,2010,85.10
F,31,2011,85.87
F,31,2012,85.34
F,31,2013,84.38
F,31,2014,85.36
F,32,2001,83.86
F,32,2002,83.56
F,32,2003,83.32
F,32,2004,82.96
F,32,2005,85.22
F,32,2006,84.31
F,32,2007,84.39
F,32,2008,85.00
F,32,2009,85.36
F,32,2010,84.82
F,32,2011,84.69
F,32,2012,86.07
F,32,2013,85.53
F,32,2014,85.79
F,33,2001,83.75
F,33,2002,83.99
F,33,2003,83.99
F,33,2004,83.60
F,33,2005,84.76
F,33,2006,85.39
F,33,2007,84.47
F,33,2008,85.35
F,33,2009,85.14
F,33,2010,84.97
F,33,2011,85.60
F,33,2012,86.34
F,33,2013,84.89
F,33,2014,86.11
F,34,2001,83.31
F,34,2002,83.23
F,34,2003,83.81
F,34,2004,83.75
F,34,2005,84.60
F,34,2006,84.49
F,34,2007,84.99
F,34,2008,85.44
F,34,2009,84.72
F,34,2010,85.83
F,34,2011,86.11
F,34,2012,84.85
F,34,2013,85.18
F,34,2014,85.09
F,35,2001,84.44
F,35,2002,85.23
F,35,2003,83.78
F,35,2004,85.35
F,35,2005,84.28
F,35,2006,85.14
F,35,2007,85.21
F,35,2008,85.78
F,35,2009,85.09
F,35,2010,85.01
F,35,2011,85.18
F,35,2012,85.43
F,35,2013,84.19
F,35,2014,85.98
F,36,2001,84.17
F,36,2002,83.36
F,36,2003,83.11
F,36,2004,84.32
F,36,2005,83.86
F,36,2006,85.16
F,36,2007,85.90
F,36,2008,84.12
F,36,2009,86.19
F,36,2010,86.19
F,36,2011,85.73
F,36,2012,85.98
F,36,2013,84.60
F,36,2014,85.76
F,37,2001,83.20
F,37,2002,84.59
F,37,2003,84.25
F,37,2004,84.16
F,37,2005,84.71
F,37,2006,83.76
F,37,2007,85.42
F,37,2008,85.25
F,37,2009,85.17
F,37,2010,85.45
F,37,2011,85.25
F,37,2012,85.29
F,37,2013,85.33
F,37,2014,86.07
F,38,2001,82.89
F,38,2002,84.11
F,38,2003,84.18
F,38,2004,84.18
F,38,2005,84.07
F,38,2006,84.94
F,38,2007,85.64
F,38,2008,85.58
F,38,2009,85.84
F,38,2010,85.68
F,38,2011,85.48
F,38,2012,84.67
F,38,2013,84.85
F,38,2014,85.48
F,39,2001,83.06
F,39,2002,83.72
F,39,2003,83.99
F,39,2004,84.09
F,39,2005,84.53
F,39,2006,85.29
F,39,2007,85.06
F,39,2008,85.26
F,39,2009,85.01
F,39,2010,86.61
F,39,2011,85.47
F,39,2012,85.53
F,39,2013,86.27
F,39,2014,86.58
F,40,2001,83.31
F,40,2002,84.63
F,40,2003,84.13
F,40,2004,85.04
F,40,2005,85.25
F,40,2006,84.63
F,40,2007,84.55
F,40,2008,85.79
F,40,2009,86.03
F,40,2010,85.81
F,40,2011,86.49
F,40,2012,85.11
F,40,2013,85.06
F,40,2014,85.93
F,41,2001,84.60
F,41,2002,84.07
F,41,2003,84.03
F,41,2004,84.58
F,41,2005,84.22
F,41,2006,84.55
F,41,2007,85.41
F,41,2008,85.58
F,41,2009,86.70
F,41,2010,85.53
F,41,2011,86.07
F,41,2012,86.57
F,41,2013,85.43
F,41,2014,86.32
F,42,2001,83.69
F,42,2002,83.80
F,42,2003,83.79
F,42,2004,83.28
F,42,2005,85.12
F,42,2006,84.82
F,42,2007,85.56
F,42,2008,85.73
F,42,2009,85.19
F,42,2010,85.78
F,42,2011,86.01
F,42,2012,85.86
F,42,2013,85.53
F,42,2014,86.41
F,43,2001,84.14
F,43,2002,83.16
F,43,2003,84.94
F,43,2004,85.88
F,43,2005,83.85
F,43,2006,84.92
F,43,2007,85.55
F,43,2008,85.74
F,43,2009,85.10
F,43,2010,85.19
F,43,2011,86.22
F,43,2012,86.16
F,43,2013,86.05
F,43,2014,85.87
F,44,2001,83.17
F,44,2002,82.98
F,44,2003,84.53
F,44,2004,85.06
F,44,2005,84.00
F,44,2006,85.85
F,44,2007,86.15
F,44,2008,87.10
F,44,2009,85.25
F,44,2010,86.66
F,44,2011,86.52
F,44,2012,85.71
F,44,2013,86.12
F,44,2014,86.37
F,45,2001,82.60
F,45,2002,85.03
F,45,2003,84.24
F,45,2004,84.98
F,45,2005,85.67
F,45,2006,85.53
F,45,2007,85.83
F,45,2008,86.13
F,45,2009,86.30
F,45,2010,86.54
F,45,2011,85.74
F,45,2012,85.78
F,45,2013,86.80
F,45,2014,86.83
F,46,2001,84.18
F,46,2002,84.89
F,46,2003,84.73
F,46,2004,84.38
F,46,2005,85.03
F,46,2006,85.25
F,46,2007,85.29
F,46,2008,86.93
F,46,2009,85.46
F,46,2010,86.28
F,46,2011,86.16
F,46,2012,86.05
F,46,2013,85.33
F,46,2014,86.29
F,47,2001,83.06
F,47,2002,84.84
F,47,2003,84.30
F,47,2004,85.38
F,47,2005,85.44
F,47,2006,85.82
F,47,2007,85.91
F,47,2008,86.46
F,47,2009,86.18
F,47,2010,86.42
F,47,2011,86.96
F,47,2012,86.18
F,47,2013,86.62
F,47,2014,86.71
F,48,2001,84.46
F,48,2002,84.52
F,48,2003,85.38
F,48,2004,85.51
F,48,2005,85.76
F,48,2006,84.98
F,48,2007,84.43
F,48,2008,86.79
F,48,2009,85.64
F,48,2010,86.58
F,48,2011,87.31
F,48,2012,86.29
F,48,2013,86.42
F,48,2014,87.18
F,49,2001,84.30
F,49,2002,85.18
F,49,2003,84.72
F,49,2004,84.87
F,49,2005,85.92
F,49,2006,85.97
F,49,2007,85.49
F,49,2008,86.19
F,49,2009,86.92
F,49,2010,85.35
F,49,2011,86.74
F,49,2012,86.29
F,49,2013,87.08
F,49,2014,86.24
F,50,2001,84.01
F,50,2002,83.94
F,50,2003,84.81
F,50,2004,85.09
F,50,2005,85.83
F,50,2006,86.53
F,50,2007,85.78
F,50,2008,85.23
F,50,2009,86.81
