gnd,pctile,year,le_raceadj
F,91,2005,87.14
F,91,2006,88.81
F,91,2007,89.09
F,91,2008,88.17
F,91,2009,89.35
F,91,2010,89.62
F,91,2011,88.85
F,91,2012,89.69
F,91,2013,89.29
F,91,2014,88.28
F,92,2001,87.41
F,92,2002,86.26
F,92,2003,87.63
F,92,2004,89.11
F,92,2005,87.09
F,92,2006,87.35
F,92,2007,88.50
F,92,2008,88.51
F,92,2009,89.05
F,92,2010,88.70
F,92,2011,89.09
F,92,2012,89.51
F,92,2013,90.13
F,92,2014,89.73
F,93,2001,87.83
F,93,2002,85.92
F,93,2003,87.21
F,93,2004,87.56
F,93,2005,87.18
F,93,2006,87.82
F,93,2007,89.04
F,93,2008,88.73
F,93,2009,88.97
F,93,2010,88.90
F,93,2011,88.56
F,93,2012,89.22
F,93,2013,90.29
F,93,2014,89.66
F,94,2001,86.33
F,94,2002,87.23
F,94,2003,87.37
F,94,2004,88.27
F,94,2005,87.80
F,94,2006,87.77
F,94,2007,89.44
F,94,2008,88.62
F,94,2009,88.14
F,94,2010,89.13
F,94,2011,89.34
F,94,2012,89.36
F,94,2013,89.37
F,94,2014,89.80
F,95,2001,86.43
F,95,2002,87.64
F,95,2003,88.45
F,95,2004,86.60
F,95,2005,87.86
F,95,2006,89.11
F,95,2007,89.19
F,95,2008,89.22
F,95,2009,88.76
F,95,2010,89.88
F,95,2011,89.39
F,95,2012,89.49
F,95,2013,90.38
F,95,2014,90.26
F,96,2001,87.98
F,96,2002,86.85
F,96,2003,86.92
F,96,2004,87.66
F,96,2005,88.11
F,96,2006,88.32
F,96,2007,89.60
F,96,2008,89.66
F,96,2009,89.69
F,96,2010,89.21
F,96,2011,89.23
F,96,2012,89.35
F,96,2013,89.91
F,96,2014,89.39
F,97,2001,87.45
F,97,2002,88.04
F,97,2003,87.09
F,97,2004,88.73
F,97,2005,87.65
F,97,2006,88.42
F,97,2007,90.00
F,97,2008,89.64
F,97,2009,89.67
F,97,2010,88.70
F,97,2011,89.02
F,97,2012,89.86
F,97,2013,89.60
F,97,2014,90.31
F,98,2001,88.54
F,98,2002,85.31
F,98,2003,87.72
F,98,2004,88.93
F,98,2005,88.45
F,98,2006,88.12
F,98,2007,88.90
F,98,2008,89.58
F,98,2009,89.63
F,98,2010,88.21
F,98,2011,89.39
F,98,2012,89.42
F,98,2013,90.02
F,98,2014,89.61
F,99,2001,86.66
F,99,2002,86.17
F,99,2003,88.29
F,99,2004,88.08
F,99,2005,88.88
F,99,2006,89.01
F,99,2007,89.12
F,99,2008,89.18
F,99,2009,89.80
F,99,2010,89.66
F,99,2011,90.27
F,99,2012,90.58
F,99,2013,90.18
F,99,2014,90.00
F,100,2001,88.38
F,100,2002,87.12
F,100,2003,89.02
F,100,2004,89.21
F,100,2005,89.13
F,100,2006,88.79
F,100,2007,89.17
F,100,2008,89.64
F,100,2009,90.88
F,100,2010,89.87
F,100,2011,90.16
F,100,2012,90.94
F,100,2013,90.47
F,100,2014,91.08
M,1,2001,73.36
M,1,2002,71.94
M,1,2003,72.03
M,1,2004,72.96
M,1,2005,72.55
M,1,2006,72.64
M,1,2007,72.42
M,1,2008,72.66
M,1,2009,68.34
M,1,2010,72.93
M,1,2011,73.18
M,1,2012,72.67
M,1,2013,73.09
M,1,2014,73.36
M,2,2001,74.06
M,2,2002,73.60
M,2,2003,73.82
M,2,2004,74.69
M,2,2005,74.72
M,2,2006,74.33
M,2,2007,74.18
M,2,2008,74.81
M,2,2009,73.14
M,2,2010,74.17
M,2,2011,74.32
M,2,2012,74.51
M,2,2013,75.26
M,2,2014,75.07
M,3,2001,75.20
M,3,2002,75.06
M,3,2003,74.82
M,3,2004,75.77
M,3,2005,75.82
M,3,2006,75.61
M,3,2007,76.60
M,3,2008,75.38
M,3,2009,74.81
M,3,2010,75.42
M,3,2011,76.13
M,3,2012,75.42
M,3,2013,75.64
M,3,2014,75.17
M,4,2001,76.46
M,4,2002,75.57
M,4,2003,75.64
M,4,2004,75.33
M,4,2005,76.00
M,4,2006,76.50
M,4,2007,76.18
M,4,2008,75.70
M,4,2009,75.60
M,4,2010,76.03
M,4,2011,76.72
M,4,2012,75.81
M,4,2013,76.03
M,4,2014,76.27
M,5,2001,76.20
M,5,2002,76.14
M,5,2003,76.01
M,5,2004,76.37
M,5,2005,76.26
M,5,2006,76.54
M,5,2007,76.32
M,5,2008,76.76
M,5,2009,75.68
M,5,2010,76.11
M,5,2011,76.09
M,5,2012,76.22
M,5,2013,75.81
M,5,2014,76.59
M,6,2001,75.41
M,6,2002,76.38
M,6,2003,75.94
M,6,2004,76.77
M,6,2005,76.93
M,6,2006,76.26
M,6,2007,77.00
M,6,2008,76.44
M,6,2009,75.83
M,6,2010,76.96
M,6,2011,76.25
M,6,2012,76.10
M,6,2013,76.00
M,6,2014,76.96
M,7,2001,76.04
M,7,2002,75.50
M,7,2003,76.78
M,7,2004,76.36
M,7,2005,76.20
M,7,2006,76.15
M,7,2007,76.70
M,7,2008,76.44
M,7,2009,76.06
M,7,2010,76.80
M,7,2011,76.52
M,7,2012,76.57
M,7,2013,76.33
M,7,2014,76.17
M,8,2001,75.03
M,8,2002,75.70
M,8,2003,75.79
M,8,2004,76.30
M,8,2005,76.32
M,8,2006,76.40
M,8,2007,76.29
M,8,2008,75.89
M,8,2009,75.52
M,8,2010,76.34
M,8,2011,77.28
M,8,2012,75.43
M,8,2013,75.64
M,8,2014,77.17
M,9,2001,75.40
M,9,2002,74.89
M,9,2003,75.55
M,9,2004,76.02
M,9,2005,75.68
M,9,2006,76.20
M,9,2007,76.81
M,9,2008,75.82
M,9,2009,76.25
M,9,2010,77.04
M,9,2011,76.64
M,9,2012,76.23
M,9,2013,76.90
M,9,2014,77.37
M,10,2001,75.80
M,10,2002,75.64
M,10,2003,75.68
M,10,2004,76.47
M,10,2005,76.20
M,10,2006,76.41
M,10,2007,76.24
M,10,2008,76.86
M,10,2009,75.92
M,10,2010,77.25
M,10,2011,77.45
M,10,2012,76.39
M,10,2013,76.73
M,10,2014,76.62
M,11,2001,75.81
M,11,2002,75.33
M,11,2003,75.90
M,11,2004,76.58
M,11,2005,76.12
M,11,2006,75.94
M,11,2007,76.29
M,11,2008,76.22
M,11,2009,76.27
M,11,2010,77.28
M,11,2011,76.72
M,11,2012,76.90
M,11,2013,77.12
M,11,2014,77.24
M,12,2001,75.58
M,12,2002,75.95
M,12,2003,75.60
M,12,2004,76.84
M,12,2005,76.24
M,12,2006,75.96
M,12,2007,76.67
M,12,2008,76.68
M,12,2009,77.63
M,12,2010,75.78
M,12,2011,77.44
M,12,2012,76.85
M,12,2013,76.11
M,12,2014,77.47
M,13,2001,76.08
M,13,2002,75.75
M,13,2003,75.60
M,13,2004,76.71
M,13,2005,76.20
M,13,2006,77.21
M,13,2007,76.78
M,13,2008,76.47
M,13,2009,76.90
M,13,2010,77.09
M,13,2011,76.67
M,13,2012,76.64
M,13,2013,77.77
M,13,2014,77.42
M,14,2001,75.39
M,14,2002,75.74
M,14,2003,75.86
M,14,2004,75.51
M,14,2005,77.19
M,14,2006,76.91
M,14,2007,77.95
M,14,2008,76.55
M,14,2009,76.94
M,14,2010,77.39
M,14,2011,77.14
M,14,2012,77.28
M,14,2013,77.32
M,14,2014,77.88
M,15,2001,76.71
M,15,2002,76.05
M,15,2003,76.78
M,15,2004,75.96
M,15,2005,76.96
M,15,2006,76.63
M,15,2007,78.03
M,15,2008,76.96
M,15,2009,76.69
M,15,2010,77.50
M,15,2011,76.78
M,15,2012,77.22
M,15,2013,76.92
M,15,2014,77.71
M,16,2001,76.18
M,16,2002,76.58
M,16,2003,77.18
M,16,2004,77.16
M,16,2005,76.62
M,16,2006,77.58
M,16,2007,77.65
M,16,2008,77.45
M,16,2009,77.59
M,16,2010,77.50
M,16,2011,77.15
M,16,2012,77.23
M,16,2013,77.10
M,16,2014,77.30
M,17,2001,76.17
M,17,2002,76.64
M,17,2003,76.82
M,17,2004,76.87
M,17,2005,77.39
M,17,2006,78.24
M,17,2007,77.62
M,17,2008,78.41
M,17,2009,77.76
M,17,2010,78.10
M,17,2011,77.61
M,17,2012,77.04
M,17,2013,77.78
M,17,2014,78.40
M,18,2001,76.54
M,18,2002,77.01
M,18,2003,76.44
M,18,2004,77.25
M,18,2005,77.32
M,18,2006,77.27
M,18,2007,77.50
M,18,2008,77.49
M,18,2009,77.90
M,18,2010,76.93
M,18,2011,77.53
M,18,2012,77.51
M,18,2013,77.23
M,18,2014,77.67
M,19,2001,77.08
M,19,2002,76.76
M,19,2003,77.29
M,19,2004,78.44
M,19,2005,76.97
M,19,2006,77.69
M,19,2007,77.71
M,19,2008,78.75
M,19,2009,78.10
M,19,2010,78.23
M,19,2011,78.36
M,19,2012,77.82
M,19,2013,77.15
M,19,2014,78.88
M,20,2001,76.88
M,20,2002,77.89
M,20,2003,77.37
M,20,2004,77.16
M,20,2005,78.04
M,20,2006,77.73
M,20,2007,78.97
M,20,2008,78.19
M,20,2009,77.46
M,20,2010,78.78
M,20,2011,78.06
M,20,2012,78.86
M,20,2013,78.04
M,20,2014,79.14
M,21,2001,77.16
M,21,2002,77.52
M,21,2003,77.42
M,21,2004,77.56
M,21,2005,78.10
M,21,2006,78.11
M,21,2007,78.90
M,21,2008,78.07
M,21,2009,78.05
M,21,2010,78.57
M,21,2011,77.89
M,21,2012,78.58
M,21,2013,78.48
M,21,2014,79.00
M,22,2001,77.88
M,22,2002,77.21
M,22,2003,77.77
M,22,2004,78.02
M,22,2005,78.01
M,22,2006,78.04
M,22,2007,78.58
M,22,2008,78.08
M,22,2009,78.31
M,22,2010,78.65
M,22,2011,79.07
M,22,2012,78.98
M,22,2013,78.67
M,22,2014,79.29
M,23,2001,76.93
M,23,2002,77.95
M,23,2003,77.60
M,23,2004,78.02
M,23,2005,78.30
M,23,2006,78.15
M,23,2007,78.90
M,23,2008,78.23
M,23,2009,78.51
M,23,2010,78.75
M,23,2011,79.14
M,23,2012,78.29
M,23,2013,78.96
M,23,2014,78.73
M,24,2001,78.21
M,24,2002,77.57
M,24,2003,77.68
M,24,2004,79.13
M,24,2005,78.67
M,24,2006,79.26
M,24,2007,79.46
M,24,2008,78.69
M,24,2009,79.31
M,24,2010,79.39
M,24,2011,79.15
M,24,2012,79.54
M,24,2013,78.91
M,24,2014,79.56
M,25,2001,77.87
M,25,2002,78.44
M,25,2003,78.56
M,25,2004,77.78
M,25,2005,78.05
M,25,2006,78.91
M,25,2007,79.56
M,25,2008,78.90
M,25,2009,78.89
M,25,2010,78.49
M,25,2011,79.05
M,25,2012,79.22
M,25,2013,79.15
M,25,2014,79.51
M,26,2001,78.75
M,26,2002,77.42
M,26,2003,78.24
M,26,2004,78.47
M,26,2005,78.68
M,26,2006,78.57
M,26,2007,79.72
M,26,2008,78.68
M,26,2009,78.55
M,26,2010,79.55
M,26,2011,79.51
M,26,2012,78.96
M,26,2013,79.08
M,26,2014,79.43
M,27,2001,78.12
M,27,2002,78.16
M,27,2003,78.29
M,27,2004,77.62
M,27,2005,79.60
M,27,2006,79.11
M,27,2007,79.94
M,27,2008,78.74
M,27,2009,79.11
M,27,2010,79.52
M,27,2011,79.19
M,27,2012,79.97
M,27,2013,79.07
M,27,2014,79.08
M,28,2001,78.02
M,28,2002,77.99
M,28,2003,79.24
M,28,2004,78.68
M,28,2005,79.61
M,28,2006,79.60
M,28,2007,79.94
M,28,2008,78.96
M,28,2009,79.02
M,28,2010,79.65
M,28,2011,80.06
M,28,2012,79.02
M,28,2013,79.19
M,28,2014,79.82
M,29,2001,78.49
M,29,2002,78.79
M,29,2003,79.21
M,29,2004,78.59
M,29,2005,79.55
M,29,2006,79.35
M,29,2007,79.45
M,29,2008,79.62
M,29,2009,78.83
M,29,2010,80.62
M,29,2011,81.16
M,29,2012,79.59
M,29,2013,79.48
M,29,2014,79.64
M,30,2001,78.07
M,30,2002,78.91
M,30,2003,78.19
M,30,2004,79.24
M,30,2005,78.82
M,30,2006,79.81
M,30,2007,80.24
M,30,2008,79.50
M,30,2009,79.70
M,30,2010,79.88
M,30,2011,79.24
M,30,2012,80.06
M,30,2013,79.35
M,30,2014,80.63
M,31,2001,78.69
M,31,2002,78.96
M,31,2003,78.45
M,31,2004,79.87
M,31,2005,80.53
M,31,2006,80.14
M,31,2007,80.36
M,31,2008,79.68
M,31,2009,79.21
M,31,2010,80.21
M,31,2011,80.61
M,31,2012,80.51
M,31,2013,79.02
M,31,2014,79.63
M,32,2001,78.55
M,32,2002,78.96
M,32,2003,79.37
M,32,2004,79.90
M,32,2005,79.84
M,32,2006,79.59
M,32,2007,80.54
M,32,2008,80.33
M,32,2009,80.37
M,32,2010,80.19
M,32,2011,79.69
M,32,2012,80.39
M,32,2013,79.72
M,32,2014,79.05
M,33,2001,79.32
M,33,2002,78.50
M,33,2003,80.40
M,33,2004,79.36
M,33,2005,80.24
M,33,2006,80.51
M,33,2007,80.32
M,33,2008,79.99
M,33,2009,80.51
M,33,2010,80.65
M,33,2011,80.29
M,33,2012,79.51
M,33,2013,79.98
M,33,2014,81.24
M,34,2001,79.11
M,34,2002,79.67
M,34,2003,80.06
M,34,2004,80.19
M,34,2005,80.59
M,34,2006,80.72
M,34,2007,80.27
M,34,2008,80.81
M,34,2009,80.80
M,34,2010,80.74
M,34,2011,80.48
M,34,2012,80.28
M,34,2013,80.29
M,34,2014,79.95
M,35,2001,78.68
M,35,2002,79.65
M,35,2003,79.50
M,35,2004,79.87
M,35,2005,79.31
M,35,2006,80.43
M,35,2007,81.27
M,35,2008,80.97
M,35,2009,81.22
M,35,2010,81.76
M,35,2011,81.16
M,35,2012,81.38
M,35,2013,80.29
M,35,2014,81.13
M,36,2001,79.84
M,36,2002,80.15
M,36,2003,79.20
M,36,2004,80.48
M,36,2005,80.43
M,36,2006,80.94
M,36,2007,81.00
M,36,2008,80.84
M,36,2009,81.49
M,36,2010,81.68
M,36,2011,81.50
M,36,2012,80.83
M,36,2013,81.32
M,36,2014,81.21
M,37,2001,80.73
M,37,2002,80.24
M,37,2003,80.47
M,37,2004,80.72
M,37,2005,81.09
M,37,2006,81.05
M,37,2007,81.05
M,37,2008,80.48
M,37,2009,81.19
M,37,2010,81.17
M,37,2011,81.70
M,37,2012,80.96
M,37,2013,81.76
M,37,2014,80.94
M,38,2001,79.41
M,38,2002,79.72
M,38,2003,80.19
M,38,2004,81.21
M,38,2005,81.31
M,38,2006,80.46
M,38,2007,81.34
M,38,2008,80.80
M,38,2009,80.85
M,38,2010,82.49
M,38,2011,81.94
M,38,2012,81.53
M,38,2013,81.18
M,38,2014,82.29
M,39,2001,81.12
M,39,2002,80.81
M,39,2003,80.32
M,39,2004,79.86
M,39,2005,80.56
M,39,2006,80.64
M,39,2007,81.40
M,39,2008,82.09
M,39,2009,81.22
M,39,2010,81.15
M,39,2011,82.68
M,39,2012,81.82
M,39,2013,80.74
M,39,2014,82.09
M,40,2001,79.77
M,40,2002,80.44
M,40,2003,80.84
M,40,2004,81.08
M,40,2005,82.02
M,40,2006,80.92
M,40,2007,82.50
M,40,2008,82.31
M,40,2009,81.03
M,40,2010,81.95
M,40,2011,82.39
M,40,2012,80.88
M,40,2013,81.97
M,40,2014,82.01
M,41,2001,80.31
M,41,2002,80.55
M,41,2003,80.80
M,41,2004,81.79
M,41,2005,81.60
M,41,2006,81.58
M,41,2007,82.40
M,41,2008,82.33
M,41,2009,81.25
M,41,2010,81.44
M,41,2011,82.84
M,41,2012,81.40
M,41,2013,81.98
M,41,2014,82.14
M,42,2001,80.67
M,42,2002,79.79
M,42,2003,81.37
M,42,2004,80.76
M,42,2005,81.36
M,42,2006,81.66
M,42,2007,82.11
M,42,2008,82.09
M,42,2009,82.07
M,42,2010,81.85
M,42,2011,81.80
M,42,2012,82.52
M,42,2013,81.67
M,42,2014,82.47
M,43,2001,79.82
M,43,2002,81.09
M,43,2003,81.06
M,43,2004,80.50
M,43,2005,81.11
M,43,2006,82.32
M,43,2007,82.05
M,43,2008,82.81
M,43,2009,82.35
M,43,2010,82.22
M,43,2011,82.63
M,43,2012,82.50
M,43,2013,81.88
M,43,2014,82.09
M,44,2001,80.79
M,44,2002,80.22
M,44,2003,79.94
M,44,2004,81.27
M,44,2005,81.89
M,44,2006,81.42
M,44,2007,81.78
M,44,2008,82.58
M,44,2009,82.89
M,44,2010,82.73
M,44,2011,82.55
M,44,2012,83.01
M,44,2013,82.48
M,44,2014,82.17
M,45,2001,79.71
M,45,2002,81.33
M,45,2003,81.21
M,45,2004,80.60
M,45,2005,81.99
M,45,2006,82.65
M,45,2007,81.92
M,45,2008,81.58
M,45,2009,82.35
M,45,2010,82.98
M,45,2011,82.62
M,45,2012,82.31
M,45,2013,82.20
M,45,2014,82.51
M,46,2001,81.24
M,46,2002,81.63
M,46,2003,82.43
M,46,2004,82.39
M,46,2005,81.19
M,46,2006,81.72
M,46,2007,82.49
M,46,2008,82.19
M,46,2009,81.51
M,46,2010,82.17
M,46,2011,81.93
M,46,2012,82.31
M,46,2013,82.84
M,46,2014,82.37
M,47,2001,81.09
M,47,2002,79.65
M,47,2003,81.23
M,47,2004,81.93
M,47,2005,81.38
M,47,2006,81.95
M,47,2007,82.19
M,47,2008,83.10
M,47,2009,82.45
M,47,2010,82.98
M,47,2011,82.40
M,47,2012,81.83
M,47,2013,82.37
M,47,2014,82.46
M,48,2001,80.03
M,48,2002,80.88
M,48,2003,80.88
M,48,2004,80.81
M,48,2005,82.17
M,48,2006,81.75
M,48,2007,82.20
M,48,2008,83.17
M,48,2009,82.62
M,48,2010,83.39
M,48,2011,83.29
M,48,2012,83.50
M,48,2013,83.06
M,48,2014,83.40
M,49,2001,80.59
M,49,2002,80.15
M,49,2003,81.26
M,49,2004,81.98
M,49,2005,81.65
M,49,2006,81.86
M,49,2007,82.50
M,49,2008,83.27
M,49,2009,82.66
M,49,2010,83.21
M,49,2011,82.70
M,49,2012,82.74
M,49,2013,82.41
M,49,2014,82.44
M,50,2001,81.07
M,50,2002,82.11
M,50,2003,82.33
M,50,2004,81.03
M,50,2005,82.55
M,50,2006,81.66
M,50,2007,82.89
M,50,2008,81.97
M,50,2009,82.23
M,50,2010,82.91
M,50,2011,82.53
M,50,2012,82.75
M,50,2013,83.55
M,50,2014,82.59
M,51,2001,82.42
M,51,2002,80.46
M,51,2003,81.17
M,51,2004,81.40
M,51,2005,82.22
M,51,2006,82.01
M,51,2007,83.30
M,51,2008,82.17
M,51,2009,83.85
M,51,2010,83.35
M,51,2011,81.97
M,51,2012,83.22
M,51,2013,83.38
M,51,2014,83.94
M,52,2001,81.14
M,52,2002,80.70
M,52,2003,82.72
M,52,2004,82.47
M,52,2005,81.27
M,52,2006,82.88
M,52,2007,82.59
M,52,2008,82.16
M,52,2009,83.07
M,52,2010,82.13
M,52,2011,83.04
M,52,2012,83.33
M,52,2013,82.67
M,52,2014,83.12
M,53,2001,80.58
M,53,2002,81.36
M,53,2003,82.02
M,53,2004,82.85
M,53,2005,82.51
M,53,2006,82.88
M,53,2007,83.65
M,53,2008,82.81
M,53,2009,83.38
M,53,2010,83.18
M,53,2011,83.51
M,53,2012,82.89
M,53,2013,83.53
M,53,2014,83.67
M,54,2001,81.78
M,54,2002,80.88
M,54,2003,81.72
M,54,2004,82.12
M,54,2005,82.80
M,54,2006,82.56
M,54,2007,82.38
M,54,2008,82.78
M,54,2009,83.25
M,54,2010,82.29
M,54,2011,83.10
M,54,2012,83.70
M,54,2013,83.45
M,54,2014,83.30
M,55,2001,81.16
M,55,2002,82.19
M,55,2003,82.99
M,55,2004,81.97
M,55,2005,82.08
M,55,2006,82.15
M,55,2007,82.91
M,55,2008,83.30
M,55,2009,82.72
M,55,2010,83.64
M,55,2011,83.64
M,55,2012,82.98
M,55,2013,82.42
M,55,2014,83.23
M,56,2001,81.64
M,56,2002,82.29
M,56,2003,81.07
M,56,2004,82.88
M,56,2005,82.84
M,56,2006,83.04
M,56,2007,83.70
M,56,2008,83.34
M,56,2009,83.12
M,56,2010,83.28
M,56,2011,84.15
M,56,2012,82.81
M,56,2013,83.19
M,56,2014,82.96
M,57,2001,81.30
M,57,2002,82.45
M,57,2003,81.08
M,57,2004,81.17
M,57,2005,83.05
M,57,2006,83.04
M,57,2007,83.50
M,57,2008,83.74
M,57,2009,83.33
M,57,2010,82.97
M,57,2011,83.29
M,57,2012,83.03
M,57,2013,84.28
M,57,2014,85.04
M,58,2001,81.48
M,58,2002,82.33
M,58,2003,81.60
M,58,2004,81.96
M,58,2005,83.63
M,58,2006,83.35
M,58,2007,84.16
M,58,2008,82.56
M,58,2009,84.21
M,58,2010,82.91
M,58,2011,83.61
M,58,2012,82.95
M,58,2013,83.75
M,58,2014,84.53
M,59,2001,81.27
M,59,2002,82.81
M,59,2003,82.50
M,59,2004,83.16
M,59,2005,82.63
M,59,2006,83.31
M,59,2007,83.60
M,59,2008,83.05
M,59,2009,83.36
M,59,2010,83.90
M,59,2011,84.00
M,59,2012,83.64
M,59,2013,82.66
M,59,2014,83.97
M,60,2001,81.86
M,60,2002,83.22
M,60,2003,82.45
M,60,2004,83.49
M,60,2005,82.44
M,60,2006,82.37
M,60,2007,83.59
M,60,2008,83.66
M,60,2009,84.29
M,60,2010,83.49
M,60,2011,84.03
M,60,2012,84.04
M,60,2013,83.63
M,60,2014,84.48
M,61,2001,82.36
M,61,2002,82.02
M,61,2003,82.78
M,61,2004,82.60
M,61,2005,82.47
M,61,2006,83.26
M,61,2007,83.60
M,61,2008,83.72
M,61,2009,83.23
M,61,2010,84.12
M,61,2011,84.61
M,61,2012,83.89
M,61,2013,84.13
M,61,2014,85.02
M,62,2001,82.52
M,62,2002,82.20
M,62,2003,82.39
M,62,2004,83.43
M,62,2005,83.85
M,62,2006,83.52
M,62,2007,84.32
M,62,2008,82.30
M,62,2009,83.64
M,62,2010,83.26
M,62,2011,84.34
M,62,2012,83.76
M,62,2013,84.21
M,62,2014,85.01
M,63,2001,83.44
M,63,2002,83.09
M,63,2003,82.31
M,63,2004,82.74
M,63,2005,83.30
M,63,2006,83.47
M,63,2007,84.93
M,63,2008,85.11
M,63,2009,84.16
M,63,2010,83.80
M,63,2011,84.55
M,63,2012,84.49
M,63,2013,83.40
M,63,2014,84.40
M,64,2001,82.98
M,64,2002,81.48
M,64,2003,82.70
M,64,2004,82.72
M,64,2005,83.00
M,64,2006,82.88
M,64,2007,84.17
M,64,2008,83.76
M,64,2009,85.17
M,64,2010,84.07
M,64,2011,84.46
M,64,2012,83.64
M,64,2013,84.49
M,64,2014,84.58
M,65,2001,82.40
M,65,2002,82.85
M,65,2003,82.74
M,65,2004,82.85
M,65,2005,83.57
M,65,2006,83.95
M,65,2007,84.21
M,65,2008,84.08
M,65,2009,85.26
M,65,2010,83.91
M,65,2011,83.88
M,65,2012,84.89
M,65,2013,84.88
M,65,2014,85.60
M,66,2001,83.24
M,66,2002,82.59
M,66,2003,83.75
M,66,2004,83.36
M,66,2005,84.45
M,66,2006,84.17
M,66,2007,83.44
M,66,2008,83.81
M,66,2009,84.89
M,66,2010,83.90
M,66,2011,84.85
M,66,2012,84.31
M,66,2013,84.92
M,66,2014,85.00
M,67,2001,82.15
M,67,2002,82.66
M,67,2003,82.89
M,67,2004,83.44
M,67,2005,83.71
M,67,2006,83.78
M,67,2007,83.97
M,67,2008,83.85
M,67,2009,84.38
M,67,2010,85.58
M,67,2011,83.93
M,67,2012,84.01
M,67,2013,84.85
M,67,2014,85.42
M,68,2001,83.75
M,68,2002,84.23
M,68,2003,82.96
M,68,2004,84.11
M,68,2005,83.60
M,68,2006,85.12
M,68,2007,84.80
M,68,2008,84.29
M,68,2009,83.92
M,68,2010,84.46
M,68,2011,85.10
M,68,2012,85.94
M,68,2013,85.08
M,68,2014,85.91
M,69,2001,82.83
M,69,2002,82.82
M,69,2003,83.40
M,69,2004,83.38
M,69,2005,83.82
M,69,2006,84.93
M,69,2007,83.75
M,69,2008,84.47
M,69,2009,84.15
M,69,2010,84.20
M,69,2011,83.75
M,69,2012,85.58
M,69,2013,85.91
M,69,2014,85.13
M,70,2001,83.35
M,70,2002,81.97
M,70,2003,82.96
M,70,2004,83.05
M,70,2005,82.81
M,70,2006,83.87
M,70,2007,83.40
M,70,2008,84.94
M,70,2009,85.00
M,70,2010,84.30
M,70,2011,85.20
M,70,2012,84.71
M,70,2013,85.24
M,70,2014,85.82
M,71,2001,82.22
M,71,2002,83.73
M,71,2003,83.25
M,71,2004,83.95
M,71,2005,83.73
M,71,2006,84.71
M,71,2007,84.16
M,71,2008,84.73
M,71,2009,84.94
M,71,2010,85.05
M,71,2011,86.01
M,71,2012,85.68
M,71,2013,86.31
M,71,2014,85.52
M,72,2001,83.89
M,72,2002,83.51
M,72,2003,83.33
M,72,2004,83.17
M,72,2005,84.85
M,72,2006,82.49
M,72,2007,85.31
M,72,2008,84.59
M,72,2009,85.10
M,72,2010,84.80
M,72,2011,84.34
M,72,2012,85.31
M,72,2013,85.70
M,72,2014,86.32
M,73,2001,83.84
M,73,2002,82.98
M,73,2003,83.76
M,73,2004,84.57
M,73,2005,84.15
M,73,2006,84.95
M,73,2007,85.13
M,73,2008,86.20
M,73,2009,85.66
M,73,2010,85.91
M,73,2011,85.82
M,73,2012,85.17
M,73,2013,85.85
M,73,2014,85.06
M,74,2001,82.68
M,74,2002,82.67
M,74,2003,83.09
M,74,2004,83.82
M,74,2005,83.88
M,74,2006,84.76
M,74,2007,84.71
M,74,2008,85.49
M,74,2009,85.05
M,74,2010,85.28
M,74,2011,84.84
M,74,2012,85.76
M,74,2013,86.17
M,74,2014,85.87
M,75,2001,83.96
M,75,2002,83.44
M,75,2003,82.80
M,75,2004,83.68
M,75,2005,84.62
M,75,2006,84.65
M,75,2007,85.12
M,75,2008,85.32
M,75,2009,85.21
M,75,2010,84.60
M,75,2011,84.39
M,75,2012,86.20
M,75,2013,86.52
M,75,2014,86.13
M,76,2001,82.65
M,76,2002,83.58
M,76,2003,83.76
M,76,2004,83.75
M,76,2005,85.56
M,76,2006,84.92
M,76,2007,85.17
M,76,2008,85.77
M,76,2009,84.83
M,76,2010,86.08
M,76,2011,85.31
M,76,2012,86.12
M,76,2013,84.92
M,76,2014,86.51
M,77,2001,83.59
M,77,2002,83.76
M,77,2003,83.04
M,77,2004,82.64
M,77,2005,84.67
M,77,2006,84.55
M,77,2007,85.30
M,77,2008,85.73
M,77,2009,85.92
M,77,2010,85.38
M,77,2011,85.47
M,77,2012,84.76
M,77,2013,86.43
M,77,2014,85.70
M,78,2001,83.60
M,78,2002,82.66
M,78,2003,83.56
M,78,2004,84.40
M,78,2005,84.00
M,78,2006,83.86
M,78,2007,84.56
M,78,2008,85.74
M,78,2009,86.04
M,78,2010,86.49
M,78,2011,85.52
M,78,2012,86.04
M,78,2013,85.20
M,78,2014,85.95
M,79,2001,82.93
M,79,2002,84.32
M,79,2003,83.42
M,79,2004,83.45
M,79,2005,83.89
M,79,2006,86.25
M,79,2007,85.77
M,79,2008,85.75
M,79,2009,85.94
M,79,2010,86.41
M,79,2011,85.60
M,79,2012,85.21
M,79,2013,85.47
M,79,2014,85.13
M,80,2001,83.65
M,80,2002,84.46
M,80,2003,83.37
M,80,2004,84.04
M,80,2005,84.31
M,80,2006,84.36
M,80,2007,84.99
M,80,2008,85.83
M,80,2009,86.77
M,80,2010,85.83
M,80,2011,87.48
M,80,2012,85.91
M,80,2013,86.08
M,80,2014,85.61
M,81,2001,84.23
M,81,2002,84.11
M,81,2003,84.84
M,81,2004,83.88
M,81,2005,83.86
M,81,2006,84.59
M,81,2007,85.23
M,81,2008,85.92
M,81,2009,87.47
M,81,2010,85.35
M,81,2011,84.83
M,81,2012,85.13
M,81,2013,86.19
M,81,2014,85.74
M,82,2001,83.14
